% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 5 2026, 11:39
% Dimension:          1
% Nodes:              2251
% Expressions:        4
% Description:        Line graph
% R                       Height                   Height                   Height                   Height
0.005866666666666657      4.1851856272550776E-10   3.8366130795222195E-10   2.2755772277760463E-10   8.089509046155822E-11
0.00589999999999999       4.1554997176613545E-10   3.8235503271127993E-10   2.273221977736863E-10    8.08791741488013E-11
0.005933333333333324      4.1261334607043737E-10   3.810485019540506E-10    2.2708567018992298E-10   8.086317122134656E-11
0.005966666666666657      4.09707156847278E-10     3.797418338015774E-10    2.268481628281491E-10    8.084708232458895E-11
0.00599999999999999       4.0683138504764384E-10   3.7843502504807817E-10   2.266096755653499E-10    8.083090745711351E-11
0.006033333333333324      4.039868622723341E-10    3.7712818831117566E-10   2.2637020148236096E-10   8.081464616995722E-11
0.006066666666666656      4.0117209257400013E-10   3.758214352284315E-10    2.2612976337669063E-10   8.079829911258615E-11
0.006099999999999989      3.983870583018352E-10    3.7451476257515804E-10   2.258883611234343E-10    8.078186628356254E-11
0.006133333333333323      3.956325321629972E-10    3.7320828744246847E-10   2.2564598809807614E-10   8.07653472356167E-11
0.006166666666666655      3.9290702341328186E-10   3.7190211113163686E-10   2.2540266705766983E-10   8.074874262503122E-11
0.0061999999999999885     3.902105157370601E-10    3.705962304064965E-10    2.251583978756598E-10    8.073205245034706E-11
0.0062333333333333225     3.875437336910746E-10    3.69290763061486E-10     2.2491317374908547E-10   8.071527625256888E-11
0.006266666666666655      3.8490521969046666E-10   3.6798580544891796E-10   2.2466701760025472E-10   8.069841469639667E-11
0.006299999999999988      3.822949587125914E-10    3.6668135431923465E-10   2.2441992930064866E-10   8.068146778034715E-11
0.006333333333333322      3.797136083172191E-10    3.6537752806684126E-10   2.2417190222900354E-10   8.066443504781493E-11
0.006366666666666654      3.771597594285764E-10    3.6407441688989E-10      2.2392295918857476E-10   8.064731716296144E-11
0.006399999999999987      3.746333982313275E-10    3.627720175251669E-10    2.2367310004897868E-10   8.063011412428084E-11
0.006433333333333321      3.7213512211977103E-10   3.614704524707415E-10    2.23422318624399E-10     8.061282548182219E-11
0.0064666666666666536     3.696635495804826E-10    3.601698012103251E-10    2.2317063749318529E-10   8.059545190141796E-11
0.006499999999999987      3.672186679338851E-10    3.588700604747205E-10    2.2291805652332458E-10   8.057799338154093E-11
0.006533333333333321      3.6480102658961634E-10   3.5757135468795994E-10   2.2266456960285784E-10   8.056044946754507E-11
0.006566666666666653      3.624092873002821E-10    3.5627375602460265E-10   2.2241019923236437E-10   8.054282082906834E-11
0.006599999999999986      3.600434384711339E-10    3.5497726120938106E-10   2.221549452779453E-10    8.052510746455972E-11
0.00663333333333332       3.577039646626861E-10    3.5368199739755463E-10   2.2189880210008653E-10   8.050730892754216E-11
0.006666666666666652      3.553895889338454E-10    3.5238802835689047E-10   2.2164179180190624E-10   8.048942588208926E-11
0.0066999999999999855     3.531003006967177E-10    3.5109535080631987E-10   2.2138391424769878E-10   8.04714583266276E-11
0.0067333333333333195     3.508365243073645E-10    3.4980409602155763E-10   2.2112516433979914E-10   8.045340582269714E-11
0.006766666666666652      3.485970379976452E-10    3.48514317474593E-10     2.2086556367422643E-10   8.04352690274243E-11
0.006799999999999985      3.4638183211606944E-10   3.4722601188268873E-10   2.2060511211356885E-10   8.041704793921379E-11
0.006833333333333319      3.4419127031621657E-10   3.4593931291217747E-10   2.2034380505457712E-10   8.03987421275339E-11
0.006866666666666651      3.4202419044221854E-10   3.4465426645323347E-10   2.2008166374076721E-10   8.038035224556102E-11
0.006899999999999984      3.398805837230863E-10    3.433708692222545E-10    2.1981868803286935E-10   8.036187829167636E-11
0.006933333333333317      3.3776075977124657E-10   3.420892550958623E-10    2.1955487368110243E-10   8.034331984261234E-11
0.00696666666666665       3.3566361941402546E-10   3.4080946428926153E-10   2.1929024158180092E-10   8.032467754363166E-11
